住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域
13102,中央区,日本橋,１丁目,13,1,日鉄日本橋ビル,18,3004,21,0,0,16,0,5,0,0,76.19,0,23.81,1605.55,32111,0,0,0,0,0,0,24083.25,1505.2,8027.75,1605.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7755361,35.6822106,0,,
13102,中央区,日本橋,１丁目,16,7,工装日本橋ビル,9,3004,13,0,0,8,0,5,0,0,61.54,0,38.46,474.26,4268.34,0,0,0,0,0,0,1897.04,237.13,2371.3,474.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7765478,35.6821772,0,,
13102,中央区,日本橋,１丁目,18,9,ガーラ日本橋一丁目,14,1002,54,0,2,2,49,1,0,3.7,3.7,90.74,1.85,127.7,1787.8,0,0,57.47,28.73,1545.17,31.53,57.47,28.73,127.7,127.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7772692,35.6829272,0,,
13102,中央区,日本橋,１丁目,18,1,日本橋郵便局,7,2021,3,1,0,2,0,0,33.33,0,66.67,0,0,2771.31,19399.17,6466.39,6466.39,0,0,0,0,12932.78,6466.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,139.7772928,35.6832542,0,,
13102,中央区,日本橋,１丁目,19,1,日本橋ダイヤビルディング,18,3004,24,0,0,7,0,17,0,0,29.17,0,70.83,1874.27,33736.86,0,0,0,0,0,0,1874.27,267.75,31862.59,1874.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,139.7777356,35.6838581,0,,
13102,中央区,日本橋,３丁目,4,10,スターツ八重洲中央ビル,8,3001,14,0,0,12,0,2,0,0,85.71,0,14.29,501.18,5011.8,0,0,0,0,0,0,4009.44,334.12,1002.36,501.18,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7715889,35.6796808,0,,
13102,中央区,日本橋,３丁目,5,13,からくさホテルカラーズ東京八重洲,16,2017,1,0,0,1,0,0,0,0,100,0,0,256.74,4107.84,0,0,0,0,0,0,4107.84,4107.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7726764,35.6791997,0,,
13102,中央区,日本橋,３丁目,5,9,日本橋八重洲ＤＵＰＬＥＸＰＯＲＴＩＯＮ,14,1002,41,0,0,0,40,1,0,0,0,97.56,2.44,159,2226,0,0,0,0,2146.5,53.66,0,0,79.5,79.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,139.7730836,35.6790461,0,,
13102,中央区,日本橋,３丁目,6,7,ファミール東京グランリッツ,13,1002,129,0,0,1,127,1,0,0,0.78,98.45,0.78,586.15,7619.95,0,0,0,0,7033.8,55.38,293.08,293.08,293.08,293.08,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,139.7731569,35.6794636,0,,
13102,中央区,日本橋,３丁目,8,2,新日本橋ビルディング,9,3004,30,0,0,29,0,1,0,0,96.67,0,3.33,937.55,9375.5,0,0,0,0,0,0,8437.95,290.96,937.55,937.55,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7727219,35.6803972,0,,
13102,中央区,日本橋,３丁目,10,5,オンワードパークビルディング,16,3004,24,0,0,22,0,2,0,0,91.67,0,8.33,949.53,15192.48,0,0,0,0,0,0,13293.42,604.25,1899.06,949.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7738608,35.6794264,0,,
13102,中央区,日本橋,３丁目,11,1,ＨＳＢＣ,10,2027,1,0,0,1,0,0,0,0,100,0,0,1168.99,11689.9,0,0,0,0,0,0,11689.9,11689.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7736183,35.6791233,0,,
13102,中央区,日本橋,３丁目,12,2,朝日ビルヂング,9,3001,32,0,0,30,0,2,0,0,93.75,0,6.25,1972.63,23671.56,0,0,0,0,0,0,19726.3,657.54,3945.26,1972.63,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,139.7743794,35.6785883,0,,
13102,中央区,日本橋,３丁目,13,11,油脂工業会館,9,3004,25,0,0,24,0,1,0,0,96,0,4,537.86,5378.6,0,0,0,0,0,0,5109.67,212.9,268.93,268.93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7746517,35.6792333,0,,
13102,中央区,日本橋,３丁目,14,10,第一三共日本橋ビル,10,3004,16,0,0,7,0,9,0,0,43.75,0,56.25,852.1,8521,0,0,0,0,0,0,852.1,121.73,7668.9,852.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7748542,35.6794033,0,,
13102,中央区,日本橋,３丁目,15,5,第２三木ビル,9,3004,22,0,0,16,0,6,0,0,72.73,0,27.27,435.69,4792.59,0,0,0,0,0,0,3790.5,236.91,1002.09,167.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7750292,35.6787981,0,,
