ID,住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域,is_target,building_usage,building_usage_detailed,by_google_map,floor_area,building_usage_detailed_sim,CL
3165,13102,中央区,新川,１丁目,3,17,新川三幸ビル,10,3003,26,0,1,23,1,1,0,3.85,88.46,3.85,3.85,946.12,9461.2,0,0,315.37,315.37,315.37,315.37,8515.08,370.22,315.37,315.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7809883,35.6781658,0,,,TRUE,01_Office,Office,FALSE,8830.45,Office,CL6
3166,13102,中央区,新川,１丁目,3,4,ＳＳビル,3,1002,10,0,1,1,6,2,0,10,10,60,20,87.83,263.49,0,0,10.98,10.98,65.87,10.98,10.98,10.98,175.66,87.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7818886,35.6785128,0,,,FALSE,,,FALSE,186.64,,
3167,13102,中央区,新川,１丁目,3,2,アムール新川アネックス,7,1002,11,0,0,0,9,2,0,0,0,81.82,18.18,95.91,671.37,0,0,0,0,479.55,53.28,0,0,191.82,95.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7815653,35.6785542,0,,,FALSE,,,FALSE,191.82,,
3168,13102,中央区,新川,１丁目,3,3,グリーンオーク茅場町,8,3004,14,0,0,14,0,0,0,0,100,0,0,511.5,4092,0,0,0,0,0,0,4092,292.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7818439,35.6786939,0,,,TRUE,01_Office,Office,FALSE,4092,Office,CL5
3169,13102,中央区,新川,１丁目,3,2,ＡＳ―２,5,3004,6,0,0,4,0,2,0,0,66.67,0,33.33,52.07,260.35,0,0,0,0,0,0,156.21,39.05,104.14,52.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7816175,35.6785931,0,,,TRUE,01_Office,Office,FALSE,260.35,Office,CL2
3170,13102,中央区,新川,１丁目,3,8,麻里伊ビル,7,3003,10,0,3,5,0,2,0,30,50,0,20,89.42,625.94,0,0,149.03,49.68,0,0,298.07,59.61,178.84,89.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7819539,35.6784133,0,,,TRUE,04_Retail,SpecialityShop_or_HousingClothingSuper,FALSE,476.91,HousingClothingSuper,
3171,13102,中央区,新川,１丁目,3,5,アルパイン茅場町,11,1002,31,0,0,2,28,1,0,0,6.45,90.32,3.23,142.45,1566.95,0,0,0,0,1139.6,40.7,284.9,142.45,142.45,142.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7822167,35.6785925,0,,,FALSE,,,FALSE,427.35,,
3172,13102,中央区,新川,１丁目,3,2,串八珍新川店,3,2001,1,0,0,1,0,0,0,0,100,0,0,88.36,265.08,0,0,0,0,0,0,265.08,265.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7814228,35.6786542,0,,,TRUE,01_Office,Office,FALSE,265.08,Office,CL2
3173,13102,中央区,新川,１丁目,3,4,ＰＡビル,8,3004,11,0,0,9,0,2,0,0,81.82,0,18.18,148.13,1333.17,0,0,0,0,0,0,1036.91,115.21,296.26,148.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7820753,35.6786447,0,,,TRUE,01_Office,Office,FALSE,1333.17,Office,CL4
3174,13102,中央区,新川,１丁目,3,2,,3,1001,1,0,1,0,0,0,0,100,0,0,0,59.46,178.38,0,0,178.38,178.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7816594,35.6786206,0,,,FALSE,,,FALSE,178.38,,
3175,13102,中央区,新川,１丁目,3,3,,4,1001,3,0,3,0,0,0,0,100,0,0,0,70.1,280.4,0,0,280.4,93.47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7817147,35.6785442,0,,,FALSE,,,FALSE,280.4,,
3176,13102,中央区,新川,１丁目,3,10,旭ビルディング,9,3004,19,0,0,17,0,2,0,0,89.47,0,10.53,402.8,4028,0,0,0,0,0,0,3524.5,207.32,503.5,251.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7816561,35.6783606,0,,,TRUE,01_Office,Office,FALSE,4028,Office,CL5
3177,13102,中央区,新川,１丁目,3,23,優和八重洲ビル,6,3003,27,0,0,20,6,1,0,0,74.07,22.22,3.7,180.92,1266.44,0,0,0,0,253.29,42.21,832.23,41.61,180.92,180.92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7804286,35.6776564,0,,,TRUE,01_Office,Office,FALSE,1013.15,Office,CL4
